 o, o,1
 f, t,0.856
 u, o,0.852
 f, f,0.793
 f, f,0.96
 u, a,1
 f, t,1
 f, t,0.994
 u, u,1
 f, t,1
 f, f,0.972
 u, w,0.914
 f, f,0.641
 f, p,1
 u, u,0.79
 f, f,1
 f, f,1
 u, u,0.983
 f, g,0.775
 f, g,1
 u, u,0.667
 f, p,0.833
 f, f,0.975
 u, w,0.853
 f, p,0.988
 f, f,0.982
 u, o,0.772
 f, f,1
 f, f,1
 u, u,1
 f, f,0.71
 f, t,0.925
 u, o,0.674
 f, f,1
 f, f,0.92
 u, u,0.991
 f, p,0.655
 f, p,0.969
 u, u,0.899
 f, r,0.923
 f, m,1
 u, u,0.977
 f, r,0.999
 f, f,0.998
 u, a,0.855
 f, f,0.984
 f, y,0.759
 u, k,0.999
 f, f,1
 f, f,1
 u, v,0.999
 f, f,0.522
 f, f,0.987
 u, u,1
 f, f,0.964
 f, p,0.963
 u, u,1
 f, f,1
 f, f,0.954
 u, d,0.999
 f, r,0.996
 f, r,0.878
 u, w,0.993
 f, t,0.907
 f, n,0.706
 u, v,0.979
 f, f,1
 f, t,0.988
 u, u,0.999
 f, f,0.977
 f, t,0.59
 u, w,0.998
 f, f,1
 f, a,0.992
 u, a,0.994
 f, e,0.706
 f, a,0.999
 u, u,0.935
 f, f,0.81
 f, p,0.589
 u, a,0.827
 f, t,0.986
 f, t,0.996
 u, u,1
 f, d,0.503
 f, f,0.973
 u, e,0.75
 f, f,0.983
 f, t,0.995
 u, a,0.792
 f, f,0.83
 f, p,0.768
 u, u,0.855
 f, r,0.939
 f, r,1
 u, u,0.997
 f, f,0.999
 f, f,1
 u, w,0.925
 f, f,1
 f, f,1
 u, u,1
 f, p,0.519
 f, f,0.658
 u, a,1
 f, t,0.963
 f, t,0.98
 u, u,0.933
 f, r,1
 f, r,0.955
 u, u,0.953
 f, f,0.991
 f, f,0.93
 u, o,0.601
 f, t,0.982
 f, l,0.513
 u, w,0.831
 f, f,1
 f, f,1
 u, v,0.996
 f, f,0.988
 f, t,0.776
 u, o,0.997
 f, l,0.999
 f, f,0.995
 u, w,0.99
 f, t,0.996
 f, d,0.936
 u, v,0.699
 f, t,1
 f, f,0.896
 u, u,0.998
 f, d,0.793
 f, f,1
 u, m,0.612
 f, x,0.959
 f, x,1
 u, o,0.999
 f, f,0.994
 f, f,0.72
 u, u,1
 f, f,0.926
 f, f,0.589
 u, u,0.965
 f, b,0.994
 f, b,0.922
 u, a,0.999
 f, t,0.997
 f, p,0.973
 u, u,0.544
 f, f,0.965
 f, f,1
 u, w,0.997
 f, d,0.621
 f, r,0.945
 u, v,0.872
 f, l,0.998
 f, l,0.99
 u, u,0.657
 f, t,0.845
 f, t,0.954
 u, v,0.999
 f, f,0.916
 f, p,1
 u, o,0.808
 f, r,0.913
 f, r,0.999
 u, o,0.997
 f, e,0.986
 f, n,0.549
 u, u,0.973
 f, f,0.916
 f, e,0.731
 u, u,0.838
 f, f,0.95
 f, f,0.999
 u, u,0.995
 f, t,0.552
 f, t,1
 u, u,1
 f, f,1
 f, f,0.982
 u, u,1
 f, f,0.999
 f, f,1
 u, e,0.604
 f, z,0.626
 f, z,0.63
 u, u,0.999
 f, f,1
 f, f,1
 u, w,0.82
 f, f,1
 f, f,1
 u, o,1
 f, q,0.993
 f, o,0.685
 u, u,0.998
 f, t,0.996
 f, l,0.715
 u, n,0.943
 f, f,0.997
 f, t,0.762
 u, a,1
 f, t,0.566
 f, f,0.627
 u, u,0.806
 f, f,0.677
 f, r,0.866
 u, k,0.935
 f, f,1
 f, t,0.959
 u, a,0.961
 f, f,1
 f, t,0.679
 u, o,0.547
 f, r,0.794
 f, p,1
 u, k,1
 f, f,1
 f, f,1
 u, u,0.952
 f, l,0.991
 f, t,0.374
 u, u,0.963
 f, f,1
 f, f,1
 u, u,0.884
 f, t,1
 f, f,0.999
 u, u,0.999
 f, f,1
 f, f,0.999
 u, v,0.497
 f, f,0.973
 f, f,0.993
 u, u,0.997
 f, r,0.984
 f, r,0.631
 u, w,0.711
 f, f,0.945
 f, t,0.958
 u, w,0.751
 f, f,1
 f, f,0.996
 u, m,0.991
 f, t,0.806
 f, t,0.953
 u, u,0.92
 f, t,0.818
 f, f,0.989
 u, u,0.988
 f, f,0.803
 f, t,0.957
 u, u,0.999
 f, f,1
 f, f,1
 u, u,1
 f, f,1
 f, f,1
 u, u,0.962
 f, f,1
 f, p,0.965
 u, a,0.973
 f, t,1
 f, t,0.988
 u, v,1
 f, f,0.986
 f, f,0.993
 u, o,0.99
 f, p,0.656
 f, p,0.999
 u, m,0.971
 f, e,0.633
 f, m,0.992
 u, a,0.514
 f, f,0.948
 f, f,0.999
 u, u,0.961
 f, l,0.851
 f, f,0.994
 u, u,0.77
 f, f,0.946
 f, f,0.998
 u, w,0.629
 f, p,0.51
 f, p,0.745
 u, q,0.959
 f, f,1
 f, f,1
 u, u,0.984
 f, f,1
 f, f,1
 u, o,1
 f, r,0.909
 f, p,0.865
 u, o,0.931
 f, f,0.938
 f, f,0.715
 u, w,0.635
 f, f,1
 f, f,0.565
 u, w,1
 f, r,0.586
 f, f,0.998
 u, u,0.734
 f, f,0.986
 f, f,0.436
 u, a,0.948
 f, f,1
 f, f,1
 u, u,1
 f, t,1
 f, t,0.989
 u, u,0.556
 f, f,1
 f, f,0.937
 u, a,0.637
 f, f,1
 f, f,1
 u, u,1
 f, f,1
 f, f,1
 u, u,1
 f, f,0.938
 f, f,0.961
 u, u,0.452
 f, n,0.973
 f, n,0.999
 u, u,0.999
 f, f,0.95
 f, f,0.849
 u, u,0.704
 f, r,0.995
 f, r,0.85
 k, u,0.999
 i, c,1
 i, c,0.933
 n, m,1
 g, q,0.959
 k, u,0.999
 i, l,1
 i, l,1
 n, n,0.974
 g, g,0.774
 k, k,0.816
 i, l,0.996
 i, l,0.665
 n, a,0.963
 g, g,1
 k, a,0.417
 i, i,0.979
 i, i,0.902
 n, n,0.998
 g, d,0.681
 k, n,0.889
 i, i,0.988
 i, i,0.961
 n, m,0.976
 g, g,0.552
 k, k,1
 i, i,0.52
 i, i,0.983
 n, n,1
 g, o,0.475
 k, k,1
 i, i,1
 i, i,0.999
 n, n,1
 g, g,1
 k, u,0.503
 i, i,0.999
 i, i,0.925
 n, n,0.504
 g, g,0.567
 k, e,0.975
 i, i,0.996
 i, i,0.87
 n, n,1
 g, g,0.999
 k, k,0.989
 i, i,0.976
 i, i,0.842
 n, n,0.994
 g, g,0.944
 k, k,1
 i, i,0.692
 i, b,0.991
 n, g,0.991
 g, g,0.996
 k, k,0.87
 i, i,0.994
 i, i,0.978
 n, n,0.957
 g, g,0.999
 k, k,0.999
 i, i,0.848
 i, i,0.984
 n, n,0.999
 g, g,1
 k, h,0.634
 i, i,1
 i, i,0.999
 n, m,0.993
 g, q,0.812
 k, b,0.993
 i, i,0.991
 i, i,0.97
 n, n,0.998
 g, o,0.977
 k, k,0.93
 i, i,0.999
 i, i,1
 n, n,0.997
 g, g,1
 k, k,0.9
 i, i,0.999
 i, i,0.961
 n, o,0.97
 g, g,0.999
 k, k,0.985
 i, i,0.984
 i, i,0.975
 n, a,0.974
 g, q,0.969
 k, k,1
 i, i,0.999
 i, i,1
 n, s,0.376
 g, g,0.663
 k, c,0.921
 i, i,1
 i, i,1
 n, n,0.998
 g, n,0.72
 k, k,0.907
 i, l,1
 i, i,0.989
 n, n,0.835
 g, y,0.786
 k, b,0.65
 i, l,0.503
 i, l,0.999
 n, n,0.558
 g, l,1
 k, k,0.762
 i, i,1
 i, i,0.969
 n, n,0.658
 g, g,1
 k, x,0.99
 i, j,0.979
 i, i,1
 n, m,0.962
 g, g,0.987
 k, k,0.999
 i, i,0.997
 i, i,0.887
 n, n,1
 g, g,1
 k, u,0.979
 i, i,1
 i, i,0.943
 n, n,1
 g, g,1
 k, k,1
 i, l,0.789
 i, r,0.999
 n, w,0.855
 g, n,0.686
 k, h,0.777
 i, b,0.7
 i, b,0.999
 n, m,0.996
 g, g,0.975
 k, z,0.526
 i, i,0.994
 i, h,0.999
 n, m,0.995
 g, g,1
 k, e,0.999
 i, i,0.991
 i, i,0.774
 n, n,1
 g, y,0.55
 k, n,0.997
 i, i,0.797
 i, i,1
 n, o,0.995
 g, z,0.979
 k, b,0.947
 i, i,0.987
 i, l,0.996
 n, g,0.918
 g, g,0.998
 k, k,0.994
 i, i,1
 i, i,1
 n, n,0.993
 g, o,1
 k, b,0.886
 i, i,0.946
 i, i,1
 n, n,0.605
 g, z,0.408
 k, k,1
 i, i,0.958
 i, i,0.999
 n, n,0.965
 g, o,0.82
 k, n,0.999
 i, i,0.999
 i, i,0.994
 n, n,0.988
 g, g,1
 k, k,0.479
 i, i,0.999
 i, c,0.692
 n, m,0.711
 g, o,1
 k, b,0.877
 i, i,0.98
 i, i,0.975
 n, n,0.999
 g, g,0.822
 k, k,1
 i, l,0.789
 i, l,0.582
 n, n,0.952
 g, d,0.917
 k, h,0.686
 i, i,0.928
 i, i,0.996
 n, n,0.995
 g, g,1
 k, e,0.996
 i, i,0.976
 i, i,0.994
 n, n,0.636
 g, g,1
 k, r,0.782
 i, l,1
 i, l,0.998
 n, w,0.992
 g, m,0.984
 k, b,0.485
 i, r,0.999
 i, i,0.995
 n, n,0.987
 g, y,0.669
 k, b,0.998
 i, i,0.998
 i, i,1
 n, n,0.987
 g, g,1
 k, k,0.983
 i, i,0.897
 i, l,1
 n, n,1
 g, g,1
 k, k,0.526
 i, i,0.997
 i, i,0.93
 n, n,1
 g, y,0.839
 k, k,0.95
 i, i,0.997
 i, i,0.998
 n, n,1
 g, e,0.914
 k, h,0.886
 i, i,0.814
 i, l,0.954
 n, o,0.997
 g, g,0.743
 k, k,1
 i, i,0.953
 i, i,0.993
 n, n,1
 g, g,0.611
 k, d,0.9
 i, y,0.914
 i, r,0.985
 n, d,0.99
 g, d,0.652
 k, m,0.956
 i, i,0.971
 i, i,0.981
 n, n,0.69
 g, o,1
 k, z,0.876
 i, l,0.753
 i, i,1
 n, k,0.884
 g, q,1
 k, h,0.97
 i, i,0.922
 i, i,0.979
 n, m,0.673
 g, n,0.872
 k, k,0.994
 i, i,0.99
 i, i,1
 n, u,0.94
 g, g,0.998
 k, v,0.552
 i, i,0.942
 i, i,0.855
 n, n,0.57
 g, g,0.944
 k, k,0.995
 i, h,0.993
 i, i,0.726
 n, m,0.977
 g, s,0.944
 k, v,0.888
 i, h,0.446
 i, h,0.957
 n, m,0.988
 g, x,0.808
 k, k,1
 i, i,1
 i, i,0.983
 n, m,0.925
 g, o,0.992
 k, k,0.994
 i, j,0.997
 i, i,0.966
 n, n,1
 g, g,0.676
 k, b,0.704
 i, i,0.994
 i, i,0.98
 n, u,1
 g, g,0.741
 k, k,1
 i, i,0.972
 i, i,0.993
 n, g,0.952
 g, g,0.799
 k, k,0.996
 i, i,1
 i, i,0.994
 n, n,1
 g, o,1
 k, k,1
 i, l,0.52
 i, i,0.967
 n, a,0.639
 g, d,1
 k, e,0.581
 i, l,0.99
 i, l,0.907
 n, w,1
 g, c,0.979
 k, b,0.97
 i, i,0.91
 i, i,0.971
 n, n,0.874
 g, d,0.994
 k, z,0.715
 i, i,0.999
 i, i,1
 n, n,0.998
 g, s,0.997
 k, k,0.705
 i, i,1
 i, l,0.776
 n, n,0.806
 g, g,0.97
 k, k,0.458
 i, i,1
 i, l,0.932
 n, o,0.884
 g, e,0.999
 k, k,0.914
 i, i,0.957
 i, l,0.677
 n, v,0.908
 g, g,0.995
 k, k,0.988
 i, i,0.996
 i, i,1
 n, n,0.994
 g, a,0.416
 k, k,1
 i, i,0.882
 i, i,0.999
 n, w,0.826
 g, b,0.832
 k, l,0.618
 i, l,0.991
 i, l,0.789
 n, n,1
 g, d,0.979
 k, k,1
 i, l,1
 i, i,0.998
 n, o,0.872
 g, z,0.98
 k, k,1
 i, j,0.912
 i, i,1
 n, n,1
 g, q,0.999
 k, f,0.39
 i, i,0.877
 i, i,0.979
 n, o,0.993
 g, z,0.995
 k, k,0.991
 i, l,0.994
 i, l,0.904
 n, n,0.886
 g, z,0.3
 k, u,0.998
 i, l,0.998
 i, i,0.988
 n, m,0.681
 g, g,1
 k, k,1
 i, l,0.673
 i, i,0.999
 n, n,1
 g, g,1
 k, d,0.992
 i, j,0.855
 i, r,0.938
 n, m,0.936
 g, u,0.386
 k, d,0.995
 i, i,1
 i, i,0.994
 n, n,1
 g, g,0.854
 k, k,1
 i, i,0.997
 i, i,0.998
 n, n,1
 g, g,0.995
 k, k,1
 i, i,0.998
 i, i,0.969
 n, n,1
 g, g,1
 k, f,0.97
 i, i,0.994
 i, i,1
 n, n,1
 g, g,1
 k, e,0.967
 i, i,0.998
 i, i,0.936
 n, n,1
 g, g,0.748
 k, e,0.849
 i, i,0.989
 i, i,1
 n, m,0.996
 g, d,1
 k, k,0.982
 i, i,0.997
 i, i,0.989
 n, o,0.999
 g, g,1
 k, p,0.619
 i, i,0.975
 i, i,1
 n, w,0.998
 g, p,0.977
 k, k,0.998
 i, i,0.998
 i, i,0.989
 n, o,0.813
 g, q,1
 k, k,0.533
 i, l,0.853
 i, i,0.948
 n, m,0.988
 g, g,0.977
 k, e,0.64
 i, i,0.953
 i, i,0.95
 n, g,0.742
 g, y,0.897
 k, t,0.884
 i, a,0.999
 i, a,0.846
 n, w,0.459
 g, a,1
 k, u,0.702
 i, r,0.845
 i, i,0.996
 n, m,0.894
 g, o,0.904
 k, x,0.789
 i, i,0.999
 i, i,0.995
 n, o,0.737
 g, g,0.998
 k, k,1
 i, i,0.997
 i, i,0.78
 n, n,1
 g, q,1
 k, k,1
 i, i,0.965
 i, i,0.992
 n, n,1
 g, g,0.999
 k, k,0.698
 i, i,0.999
 i, i,1
 n, m,0.924
 g, g,1
 k, d,0.998
 i, i,1
 i, i,0.976
 n, n,1
 g, g,0.99
 k, k,0.925
 i, i,0.99
 i, i,0.995
 n, h,0.625
 g, d,0.587
 k, h,0.955
 i, i,0.994
 i, i,0.936
 n, n,0.999
 g, g,1
 k, k,0.563
 i, i,0.996
 i, i,0.806
 n, n,0.68
 g, g,1
 k, k,1
 i, i,0.98
 i, i,1
 n, n,0.657
 g, g,0.967
 k, f,0.484
 i, i,0.939
 i, i,0.997
 n, n,0.984
 g, g,0.96
 k, k,0.995
 i, i,0.998
 i, i,0.991
 n, n,0.998
 g, t,0.694
 k, m,0.769
 i, i,1
 i, i,1
 n, m,0.517
 g, k,0.994
 k, q,0.911
 i, l,1
 i, l,1
 n, n,0.816
 g, e,0.995
 k, u,0.983
 i, i,0.996
 i, i,0.991
 n, m,0.976
 g, g,1
 k, n,0.992
 i, l,0.999
 i, l,1
 n, v,1
 g, a,0.999
 k, d,1
 i, i,1
 i, i,0.928
 n, n,0.999
 g, u,0.853
 k, k,0.696
 i, i,0.999
 i, i,0.973
 n, m,0.6
 g, s,0.983
 k, z,0.734
 i, l,0.624
 i, l,1
 n, o,0.584
 g, g,0.971
 k, k,1
 i, i,0.995
 i, i,0.998
 n, n,0.971
 g, g,1
 k, k,0.982
 i, i,0.705
 i, i,0.932
 n, n,0.915
 g, g,1
 k, k,0.969
 i, i,0.991
 i, i,0.925
 n, n,1
 g, g,1
 k, z,0.6
 i, i,0.992
 i, l,0.614
 n, n,0.999
 g, g,0.999
 k, x,0.509
 i, l,1
 i, l,0.969
 n, n,0.991
 g, a,0.999
 k, k,0.977
 i, i,1
 i, i,1
 n, m,0.518
 g, g,1
 k, k,0.938
 i, i,1
 i, i,1
 n, e,0.527
 g, m,0.608
 k, h,0.647
 i, i,0.991
 i, i,0.996
 n, m,0.994
 g, z,0.865
 k, b,0.567
 i, i,0.833
 i, i,0.674
 n, n,1
 g, g,1
 k, h,0.485
 i, i,1
 i, i,1
 n, m,0.986
 g, g,1
 k, u,0.944
 i, t,0.983
 i, i,0.992
 n, m,0.997
 g, g,0.891
 k, k,0.979
 i, i,0.717
 i, i,0.979
 n, n,1
 g, g,0.894
 k, a,0.952
 i, i,0.999
 i, l,0.917
 n, n,0.999
 g, d,0.936
 k, k,0.96
 i, i,0.999
 i, i,0.998
 n, o,0.927
 g, g,0.983
 k, k,0.754
 i, i,0.986
 i, i,0.992
 n, n,1
 g, g,0.992
 k, h,0.928
 i, i,0.994
 i, i,0.949
 n, n,1
 g, g,0.997
 k, w,0.841
 i, i,0.987
 i, i,0.806
 n, m,1
 g, z,0.852
 k, k,0.958
 i, i,0.987
 i, i,0.983
 n, n,0.797
 g, g,1
 k, u,0.846
 i, i,0.999
 i, i,1
 n, m,0.956
 g, g,1
 k, x,0.953
 i, h,0.69
 i, k,0.847
 n, w,0.971
 g, a,1
 k, b,0.922
 i, i,0.993
 i, i,0.994
 n, n,0.906
 g, g,1
 k, k,0.996
 i, i,0.999
 i, i,0.943
 n, n,0.987
 g, g,0.999
 k, k,0.994
 i, j,0.766
 i, i,0.566
 n, m,0.643
 g, g,1
 k, k,1
 i, i,0.999
 i, l,0.551
 n, n,1
 g, g,0.999
 k, b,0.905
 i, i,0.912
 i, i,0.995
 n, n,0.988
 g, t,0.793
 k, k,1
 i, i,0.996
 i, i,0.528
 n, o,0.986
 g, g,0.947
 k, b,0.778
 i, i,0.999
 i, i,0.78
 n, h,0.805
 g, g,0.628
 k, b,0.77
 i, f,0.847
 i, i,1
 n, m,0.721
 g, g,1
 k, k,1
 i, i,1
 i, i,0.998
 n, n,0.998
 g, g,1
 k, k,0.999
 i, j,1
 i, i,1
 n, n,1
 g, j,0.712
 k, h,0.908
 i, i,0.996
 i, i,0.976
 n, n,0.689
 g, g,1
 k, k,1
 i, i,0.844
 i, i,0.994
 n, n,1
 g, g,0.998
 k, k,0.998
 i, i,0.966
 i, i,0.954
 n, n,0.992
 g, g,1
 k, d,0.575
 i, i,0.839
 i, i,0.97
 n, n,1
 g, g,1
 k, x,0.811
 i, z,0.508
 i, z,0.879
 n, u,0.935
 g, m,0.997
 k, k,1
 i, j,0.999
 i, i,0.975
 n, n,0.998
 g, g,1
 k, w,0.996
 i, r,0.893
 i, i,0.991
 n, m,0.999
 g, a,0.955
 a, a,1
 c, a,0.886
 k, u,1
 i, i,0.999
 n, a,0.562
 g, o,1
 a, m,0.582
 c, a,0.916
 k, h,0.956
 i, i,0.74
 n, n,0.86
 g, g,1
 a, a,1
 c, c,1
 k, x,0.55
 i, h,0.975
 n, n,0.688
 g, s,0.986
 a, a,1
 c, a,0.926
 k, c,0.999
 i, i,0.98
 n, n,0.714
 g, d,0.91
 a, n,1
 c, m,0.96
 k, a,0.95
 i, i,1
 n, m,0.81
 g, g,1
 a, o,0.647
 c, c,1
 k, k,0.991
 i, r,0.954
 n, n,0.983
 g, g,1
 a, a,0.97
 c, c,0.999
 k, k,1
 i, i,0.999
 n, n,1
 g, d,0.657
 a, z,0.945
 c, c,1
 k, k,1
 i, i,1
 n, n,1
 g, g,1
 a, a,0.987
 c, c,0.92
 k, u,0.998
 i, l,0.946
 n, u,0.967
 g, g,0.994
 a, a,0.59
 c, a,0.493
 k, k,0.979
 i, i,0.995
 n, n,1
 g, g,1
 a, a,1
 c, c,1
 k, k,0.787
 i, y,0.993
 n, n,0.998
 g, g,1
 a, a,1
 c, b,0.999
 k, q,0.993
 i, l,0.637
 n, n,1
 g, g,0.999
 a, a,1
 c, c,0.85
 k, b,0.658
 i, i,0.989
 n, n,0.767
 g, g,0.997
 a, a,0.993
 c, c,1
 k, k,0.98
 i, i,0.991
 n, n,0.998
 g, g,1
 a, a,0.936
 c, c,1
 k, u,0.97
 i, i,0.953
 n, n,0.543
 g, g,1
 a, o,0.99
 c, c,0.989
 k, k,0.545
 i, l,0.91
 n, n,0.783
 g, o,0.643
 a, m,0.693
 c, c,0.997
 k, k,0.848
 i, i,0.954
 n, m,0.98
 g, g,1
 a, g,0.586
 c, c,1
 k, k,1
 i, l,0.789
 n, g,1
 g, b,0.722
 a, a,1
 c, e,0.817
 k, k,1
 i, i,0.978
 n, m,0.557
 g, q,0.971
 a, a,1
 c, c,1
 k, k,0.998
 i, j,0.998
 n, a,0.998
 g, t,0.993
 a, d,0.998
 c, c,1
 k, e,0.998
 i, f,0.451
 n, o,0.892
 g, a,0.533
 a, n,0.685
 c, c,1
 k, u,0.872
 i, i,0.951
 n, n,1
 g, g,1
 a, a,0.998
 c, c,0.999
 k, e,0.516
 i, i,0.997
 n, m,0.973
 g, z,0.984
 a, m,0.895
 c, c,0.921
 k, z,0.515
 i, x,0.96
 n, m,0.894
 g, s,0.994
 a, a,0.853
 c, c,1
 k, k,0.66
 i, i,0.996
 n, n,0.965
 g, g,0.992
 a, a,0.967
 c, c,1
 k, u,1
 i, i,0.998
 n, n,0.994
 g, o,0.995
 a, a,0.996
 c, c,0.887
 k, k,0.731
 i, l,0.853
 n, w,0.846
 g, s,0.999
 a, m,0.853
 c, c,0.997
 k, z,0.864
 i, l,0.999
 n, a,0.802
 g, m,0.641
 a, a,1
 c, c,1
 k, e,0.999
 i, i,0.896
 n, n,1
 g, g,0.723
 a, a,0.986
 c, c,1
 k, k,1
 i, i,0.997
 n, g,0.995
 g, g,1
 a, a,1
 c, c,0.998
 k, h,0.833
 i, i,0.998
 n, w,0.62
 g, j,0.643
 a, m,0.572
 c, c,0.999
 k, k,0.977
 i, b,0.959
 n, n,0.999
 g, g,0.892
 a, a,1
 c, o,0.888
 k, h,0.564
 i, j,0.566
 n, n,0.996
 g, m,0.982
 a, a,1
 c, c,0.979
 k, k,0.994
 i, i,1
 n, a,0.584
 g, g,0.98
 a, m,0.993
 c, c,0.999
 k, n,1
 i, i,1
 n, n,0.683
 g, g,1
 a, m,0.998
 c, m,0.98
 k, u,0.997
 i, r,0.97
 n, n,0.779
 g, g,0.999
 a, a,0.999
 c, a,0.821
 k, n,0.994
 i, j,1
 n, n,0.927
 g, g,1
 a, n,1
 c, b,0.374
 k, k,0.802
 i, k,0.667
 n, n,0.997
 g, g,1
 a, o,0.973
 c, c,0.998
 k, k,0.998
 i, i,0.944
 n, o,0.828
 g, g,1
 a, a,1
 c, c,1
 k, h,0.999
 i, i,0.61
 n, n,0.999
 g, o,1
 a, a,0.51
 c, r,0.799
 k, f,0.996
 i, i,1
 n, m,0.711
 g, d,0.506
 a, n,0.884
 c, c,0.998
 k, b,0.999
 i, i,0.999
 n, n,1
 g, g,1
 a, g,1
 c, b,0.904
 k, k,0.738
 i, i,0.966
 n, o,0.95
 g, p,0.987
 a, a,1
 c, c,0.974
 k, k,1
 i, l,0.871
 n, n,0.986
 g, g,0.993
 a, a,1
 c, c,0.981
 k, k,0.805
 i, i,0.969
 n, n,0.549
 g, q,0.923
 a, a,0.996
 c, c,0.999
 k, k,1
 i, i,0.999
 n, n,0.996
 g, t,0.918
 a, d,1
 c, o,1
 k, d,0.995
 i, y,0.935
 n, d,0.999
 g, d,0.784
 a, m,1
 c, a,0.989
 k, n,0.552
 i, i,0.708
 n, n,0.772
 g, o,1
 a, m,0.968
 c, w,0.767
 k, u,0.987
 i, i,0.999
 n, a,0.501
 g, y,0.954
 a, m,0.792
 c, c,1
 k, h,0.968
 i, i,0.995
 n, n,1
 g, u,0.917
 a, a,0.609
 c, a,0.978
 k, k,0.959
 i, i,0.978
 n, a,0.643
 g, q,0.998
 a, e,0.779
 c, u,0.917
 k, z,0.983
 i, h,0.978
 n, m,0.999
 g, h,0.994
 a, m,1
 c, m,0.938
 k, v,0.98
 i, k,0.8
 n, m,0.931
 g, s,0.999
 a, m,1
 c, c,1
 k, b,0.773
 i, b,0.687
 n, n,0.761
 g, o,1
 a, a,1
 c, c,1
 k, k,0.695
 i, i,1
 n, n,0.893
 g, q,0.652
 a, a,1
 c, c,1
 k, k,0.987
 i, i,0.556
 n, n,0.919
 g, g,0.998
 a, a,1
 c, c,1
 k, k,0.999
 i, i,0.944
 n, n,1
 g, g,1
 a, m,0.72
 c, c,1
 k, k,0.993
 i, i,0.999
 n, a,0.932
 g, g,0.545
 a, n,0.954
 c, c,1
 k, e,0.996
 i, r,0.866
 n, w,0.998
 g, a,1
 a, a,1
 c, c,1
 k, b,0.948
 i, i,0.764
 n, u,1
 g, l,0.999
 a, a,1
 c, c,0.941
 k, k,0.88
 i, i,0.588
 n, m,0.988
 g, s,0.905
 a, m,0.966
 c, a,1
 k, k,0.725
 i, i,0.965
 n, n,1
 g, g,1
 a, a,1
 c, a,0.886
 k, d,1
 i, i,0.975
 n, n,1
 g, q,0.934
 a, d,1
 c, g,0.811
 k, r,0.622
 i, i,1
 n, a,0.912
 g, d,1
 a, a,1
 c, c,1
 k, k,1
 i, i,0.997
 n, n,0.863
 g, s,0.503
 a, k,0.953
 c, u,0.698
 k, k,1
 i, l,1
 n, n,0.999
 g, g,1
 a, m,0.995
 c, c,1
 k, k,1
 i, l,0.986
 n, w,0.999
 g, g,0.986
 a, x,0.956
 c, c,0.92
 k, l,0.97
 i, l,0.789
 n, n,1
 g, d,0.816
 a, a,0.998
 c, c,0.994
 k, e,0.999
 i, i,1
 n, n,0.941
 g, g,0.998
 a, a,0.92
 c, g,1
 k, k,0.965
 i, i,1
 n, k,0.69
 g, q,0.999
 a, a,1
 c, c,1
 k, k,0.996
 i, i,0.933
 n, o,0.995
 g, g,0.999
 a, a,0.995
 c, a,0.949
 k, h,0.787
 i, l,0.917
 n, n,0.587
 g, z,0.882
 a, m,0.605
 c, c,0.728
 k, h,0.655
 i, l,1
 n, n,0.987
 g, g,1
 a, a,1
 c, c,0.932
 k, k,0.771
 i, i,0.803
 n, n,1
 g, g,1
 a, a,1
 c, r,0.994
 k, d,0.461
 i, r,0.983
 n, n,0.968
 g, u,0.916
 a, d,1
 c, c,1
 k, d,0.993
 i, i,0.997
 n, n,1
 g, y,0.478
 a, a,1
 c, c,1
 k, k,1
 i, l,0.582
 n, a,0.581
 g, g,1
 a, a,0.811
 c, a,0.999
 k, d,0.549
 i, i,0.998
 n, n,0.879
 g, g,1
 a, d,1
 c, r,0.99
 k, k,0.952
 i, l,0.571
 n, z,0.999
 g, d,0.942
 a, m,0.989
 c, a,0.974
 k, e,0.573
 i, i,0.998
 n, m,0.993
 g, d,0.973
 a, o,0.715
 c, c,1
 k, b,0.991
 i, i,1
 n, o,0.999
 g, g,0.99
 a, z,1
 c, c,1
 k, k,0.988
 i, i,0.736
 n, g,0.997
 g, q,1
 a, m,0.998
 c, c,1
 k, h,0.647
 i, i,1
 n, m,0.569
 g, g,1
 a, e,0.937
 c, c,1
 k, p,0.999
 i, i,0.947
 n, o,0.527
 g, g,0.793
 a, g,0.455
 c, c,0.504
 k, u,0.99
 i, a,0.74
 n, w,1
 g, a,1
 a, a,0.521
 c, a,0.444
 k, h,0.985
 i, i,0.999
 n, m,0.935
 g, g,1
 a, a,0.9
 c, c,0.943
 k, k,0.975
 i, i,1
 n, n,1
 g, g,0.996
 a, a,1
 c, c,1
 k, k,0.992
 i, i,0.997
 n, n,1
 g, e,0.701
 a, o,1
 c, g,0.597
 k, k,0.997
 i, i,0.994
 n, n,1
 g, g,0.98
 a, a,1
 c, c,1
 k, b,0.762
 i, i,0.997
 n, o,0.885
 g, g,0.999
 a, a,1
 c, c,0.663
 k, d,0.77
 i, l,0.522
 n, n,1
 g, g,1
 a, m,0.634
 c, a,0.884
 k, h,0.867
 i, i,1
 n, n,0.509
 g, o,0.854
 a, a,0.92
 c, c,0.977
 k, b,0.983
 i, i,1
 n, o,0.774
 g, g,1
 a, a,0.83
 c, a,0.987
 k, x,0.558
 i, b,0.943
 n, m,0.999
 g, g,0.967
 a, m,0.539
 c, a,0.898
 k, e,0.99
 i, i,0.999
 n, m,0.997
 g, g,1
 a, e,0.572
 c, b,0.654
 k, n,0.994
 i, i,0.997
 n, n,1
 g, p,0.998
 a, a,0.997
 c, a,0.549
 k, u,0.982
